url_recriar,backlinks_bons,dominios_unicos,DR_top,dominios_exemplo,do_que_era_a_pagina
https://www.papodebola.com.br/papoespecial/20070414.htm,7,3,97,en.wikipedia.org | linguateca.pt | a.osmarks.net,List of Santos FC records and statistics
https://www.papodebola.com.br/papodemidia/profissionais/palomatocci.htm,6,3,97,pt.wikipedia.org | en.wikipedia.org | portaldosjornalistas.com.br,Paloma Tocci
https://www.papodebola.com.br/goleiros/20041027.htm,6,3,97,en.wikipedia.org | so.wikipedia.org | a.osmarks.net,Hugo Gatti
https://www.papodebola.com.br/vidadecraque/20040910.htm,6,2,97,ru.wikipedia.org | руни.рф,Жулиньо
https://www.papodebola.com.br/papodemidia/profissionais/luizceara.htm,4,2,97,pt.wikipedia.org | portaldosjornalistas.com.br,Luiz Ceará
https://www.papodebola.com.br/vidadecraque/20040811.htm,4,2,97,ru.wikipedia.org | руни.рф,"Сантос, Нилтон"
https://www.papodebola.com.br/goleiros/20041006.htm,4,2,97,ru.wikipedia.org | руни.рф,"Морейра, Айморе"
https://www.papodebola.com.br/papodemidia/coluna/20200201.htm,3,2,97,pt.wikipedia.org | en.wikipedia.org,TV Cultura do Pará
https://www.papodebola.com.br/papodemidia/profissionais/robyporto.htm,2,2,97,pt.wikipedia.org | jornalggn.com.br,Roby Porto
https://www.papodebola.com.br/papodemidia/coluna/20100802.htm,2,2,97,pt.wikipedia.org | en.wikipedia.org,TV Mirante Balsas
https://www.papodebola.com.br/papodemidia/coluna/20120120.htm,2,2,97,en.wikipedia.org | en.chped.com,TNT Sports (Brazil)
https://www.papodebola.com.br/papodemidia/profissionais/marcelobianconi.htm,2,2,97,pt.wikipedia.org | en.wikipedia.org,Marcelo Bianconi
https://www.papodebola.com.br/24horas/20130104.htm,1,1,97,it.wikipedia.org,True Blood
https://www.papodebola.com.br/vidadecraque/20050410.htm,1,1,97,ca.wikipedia.org,"Sócrates Brasileiro Sampaio de Souza Vieira de Oliveira - Viquipèdia, l'enc"
https://www.papodebola.com.br/vidadecraque/20050210.htm,1,1,97,ca.wikipedia.org,"Roberto Rivellino - Viquipèdia, l'enciclopèdia lliure"
https://www.papodebola.com.br/papodemidia/profissionais/tombarros.htm,1,1,97,pt.wikipedia.org,Tom Barros
https://www.papodebola.com.br/papodemidia/coluna/20130426.htm,1,1,97,pt.wikipedia.org,Os Donos da Bola
https://www.papodebola.com.br/futebolestranho/20071206.htm,1,1,97,pt.wikipedia.org,André Rocha
https://www.papodebola.com.br/papodemidia/coluna/20070913.htm,1,1,97,pt.wikipedia.org,Marco de Vargas
https://www.papodebola.com.br/papodemidia/coluna/200406.htm,1,1,97,pt.wikipedia.org,Vanessa Riche
https://www.papodebola.com.br/papodemidia/coluna/20120403.htm,1,1,97,pt.wikipedia.org,TV Difusora São Luís
https://www.papodebola.com.br/papodemidia/coluna/20111113.htm,1,1,97,pt.wikipedia.org,Hamilton Rodrigues
https://www.papodebola.com.br/papodemidia/coluna/20120129.htm,1,1,97,pt.wikipedia.org,Hamilton Rodrigues
https://www.papodebola.com.br/papodemidia/coluna/20080823.htm,1,1,97,pt.wikipedia.org,Hamilton Rodrigues
