keyword,volume,posicao_atual,KD,trafego,url_atual,serp_features
placar botafogo hoje,1300,14,28,3,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Video preview"
jogos de hoje botafogo,1300,18,57,1,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Top stories, Thumbnail"
palmeiras calendario,1300,19,41,0,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,"Knowledge panel, Video preview, Image pack"
que horas palmeiras joga hoje,1200,17,47,1,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"People also ask, Video preview"
que horas vai ser o jogo do botafogo hoje,1000,14,10,2,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"AI Overview, People also ask, Video preview"
horário jogo do palmeiras hoje,1000,17,34,1,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"AI Overview, Thumbnail, People also ask, Video preview"
escalação do botafogo para o jogo de hoje,1000,11,26,0,https://www.papodebola.com.br/futebol/times/botafogo/escalacao,"People also ask, Video preview"
bragantino joga hoje,900,18,6,5,https://www.papodebola.com.br/futebol/times/bragantino,"AI Overview, Thumbnail, People also ask, Video preview"
resultado basquete,900,18,46,0,https://www.papodebola.com.br/basquete,Video preview
bragantino hoje,800,13,36,5,https://www.papodebola.com.br/futebol/times/bragantino,"AI Overview, Thumbnail, Video preview"
placar jogo do palmeiras hoje,800,17,47,1,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"People also ask, Video preview"
bragantino onde assistir,700,19,0,3,https://www.papodebola.com.br/futebol/times/bragantino/onde-assistir,"AI Overview, Thumbnail, People also ask, Video preview"
com quem o botafogo joga hoje,700,14,62,2,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Video preview"
que horas joga o fluminense hoje,700,19,23,2,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,"Featured snippet, People also ask, Video preview"
placar do jogo fluminense,700,14,46,2,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,"People also ask, Knowledge panel, Video preview"
qual o placar do jogo do botafogo,700,14,50,2,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,Video preview
palmeiras hoje placar,700,16,46,1,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"People also ask, Video preview"
jogo flu hoje,700,19,24,1,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,"People also ask, Video preview"
horario jogo botafogo,700,19,27,0,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Knowledge panel, Video preview"
onde assistir bragantino,600,17,0,4,https://www.papodebola.com.br/futebol/times/bragantino/onde-assistir,"AI Overview, Thumbnail, People also ask, Video preview"
palmeiras hoje escalação,600,14,6,3,https://www.papodebola.com.br/futebol/times/palmeiras/escalacao,"People also ask, Video preview, Knowledge panel"
hoje o palmeiras joga,600,19,60,2,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"AI Overview, Thumbnail, People also ask, Video preview"
qual o placar do jogo do palmeiras hoje,600,18,54,1,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"People also ask, Video preview"
placar do jogo botafogo,600,17,48,1,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Video preview"
internacional placar,600,20,43,1,https://www.papodebola.com.br/futebol/times/internacional/jogo-hoje,"People also ask, Video preview"
resultado jogo do botafogo hoje,600,19,52,0,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Video preview"
palmeiras próximos jogos,600,17,30,0,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,"People also ask, Knowledge panel, Video preview"
placar do botafogo hoje,500,8,42,3,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Video preview"
resultado do botafogo de hoje,500,14,58,1,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"Featured snippet, Video preview, People also ask"
horario jogo botafogo hoje,450,13,26,1,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"AI Overview, Thumbnail, People also ask, Video preview"
assistir o jogo do botafogo,450,19,0,0,https://www.papodebola.com.br/futebol/times/botafogo/onde-assistir,"People also ask, Video preview, Bottom ads, Paid sitelinks"
próximos jogos do botafogo no brasileirão,350,12,27,2,https://www.papodebola.com.br/futebol/times/botafogo/proximos-jogos,"People also ask, Video preview"
proximo jogos do palmeiras,350,19,41,0,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,"People also ask, Knowledge panel, Video preview"
próximo jogo chapecoense,250,13,19,1,https://www.papodebola.com.br/futebol/times/chapecoense,"People also ask, Knowledge panel"
horario jogo do botafogo hoje,200,10,26,1,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"Featured snippet, People also ask, Video preview"
próximo jogo do chapecoense,200,15,18,0,http://www.papodebola.com.br/futebol/times/chapecoense,"AI Overview, Thumbnail"
qual os próximos jogos do internacional,150,10,34,3,https://www.papodebola.com.br/futebol/times/internacional/proximos-jogos,"People also ask, Video preview"
próximo jogo da chape,150,10,16,1,https://www.papodebola.com.br/futebol/times/chapecoense,
onde assistir o jogo do bragantino,80,16,0,1,https://www.papodebola.com.br/futebol/times/bragantino/onde-assistir,"AI Overview, Thumbnail, People also ask, Video preview"
horário jogo fluminense,30,20,23,0,https://www.papodebola.com.br/futebol/times/fluminense/jogo-hoje,"People also ask, Video preview, Knowledge panel"
bragantino proximos jogos,20,11,0,0,https://www.papodebola.com.br/futebol/times/bragantino,"People also ask, Knowledge panel"
próximo jogo do palmeiras na copinha,20,19,24,0,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,"AI Overview, Thumbnail, People also ask, Video preview"
próximos jogos do bragantino no brasileirão,10,11,11,0,https://www.papodebola.com.br/futebol/times/bragantino,"People also ask, Knowledge panel, Sitelinks"
botafogo rj proximos jogos,0,10,29,0,https://www.papodebola.com.br/futebol/times/botafogo/proximos-jogos,"Knowledge panel, People also ask, Video preview"
próximos três jogos do botafogo,0,10,27,0,https://www.papodebola.com.br/futebol/times/botafogo/proximos-jogos,People also ask
